2025-07-22 11:27:48.488360,455
2025-07-22 11:27:48.539693,454
2025-07-22 11:27:48.598747,453
2025-07-22 11:27:48.657840,451
2025-07-22 11:27:48.715482,451
2025-07-22 11:27:48.767171,451
2025-07-22 11:27:48.819668,451
2025-07-22 11:27:48.875216,450
2025-07-22 11:27:48.927133,451
2025-07-22 11:27:48.978886,450
2025-07-22 11:27:49.040361,451
2025-07-22 11:27:49.097399,451
2025-07-22 11:27:49.156690,453
2025-07-22 11:27:49.216647,454
2025-07-22 11:27:49.275583,456
2025-07-22 11:27:49.329339,458
2025-07-22 11:27:49.380901,461
2025-07-22 11:27:49.442719,463
2025-07-22 11:27:49.497139,466
2025-07-22 11:27:49.551300,469
2025-07-22 11:27:49.602908,471
2025-07-22 11:27:49.660709,473
2025-07-22 11:27:49.721382,475
2025-07-22 11:27:49.784561,478
2025-07-22 11:27:49.845554,480
2025-07-22 11:27:49.898568,482
2025-07-22 11:27:49.949671,485
2025-07-22 11:27:50.001469,487
2025-07-22 11:27:50.065211,490
2025-07-22 11:27:50.116945,493
2025-07-22 11:27:50.176283,496
2025-07-22 11:27:50.239265,498
2025-07-22 11:27:50.290680,501
2025-07-22 11:27:50.347638,504
2025-07-22 11:27:50.405217,506
2025-07-22 11:27:50.469337,509
2025-07-22 11:27:50.574484,511
2025-07-22 11:27:50.641011,514
2025-07-22 11:27:50.692270,516
2025-07-22 11:27:50.754959,519
2025-07-22 11:27:50.806847,521
2025-07-22 11:27:50.865380,525
2025-07-22 11:27:50.941082,528
2025-07-22 11:27:51.011773,530
2025-07-22 11:27:51.075015,533
2025-07-22 11:27:51.127095,536
2025-07-22 11:27:51.180528,539
2025-07-22 11:27:51.238323,542
2025-07-22 11:27:51.299392,546
2025-07-22 11:27:51.351280,549
2025-07-22 11:27:51.408820,552
2025-07-22 11:27:51.469156,554
2025-07-22 11:27:51.530346,557
2025-07-22 11:27:51.590652,559
2025-07-22 11:27:51.654198,561
2025-07-22 11:27:51.716605,563
2025-07-22 11:27:51.770391,565
2025-07-22 11:27:51.821847,568
2025-07-22 11:27:51.885857,569
2025-07-22 11:27:51.947440,571
2025-07-22 11:27:52.009467,572
2025-07-22 11:27:52.062767,574
2025-07-22 11:27:52.117656,576
2025-07-22 11:27:52.180083,577
2025-07-22 11:27:52.242698,578
2025-07-22 11:27:52.305789,579
2025-07-22 11:27:52.358113,580
2025-07-22 11:27:52.414896,580
2025-07-22 11:27:52.467206,581
2025-07-22 11:27:52.519931,581
2025-07-22 11:27:52.571084,581
2025-07-22 11:27:52.623308,581
2025-07-22 11:27:52.679126,581
2025-07-22 11:27:52.739396,580
2025-07-22 11:27:52.801299,579
2025-07-22 11:27:52.863129,578
2025-07-22 11:27:52.919737,576
2025-07-22 11:27:52.971277,574
2025-07-22 11:27:53.025804,573
2025-07-22 11:27:53.080453,571
2025-07-22 11:27:53.132792,568
2025-07-22 11:27:53.192506,566
2025-07-22 11:27:53.253848,564
2025-07-22 11:27:53.315445,563
2025-07-22 11:27:53.376699,560
2025-07-22 11:27:53.437518,558
2025-07-22 11:27:53.499620,557
2025-07-22 11:27:53.561791,554
2025-07-22 11:27:53.619695,553
2025-07-22 11:27:53.671941,551
2025-07-22 11:27:53.736122,548
2025-07-22 11:27:53.798292,546
2025-07-22 11:27:53.855366,544
2025-07-22 11:27:53.913616,539
2025-07-22 11:27:53.966084,537
2025-07-22 11:27:54.033087,534
2025-07-22 11:27:54.098948,532
2025-07-22 11:27:54.164294,529
2025-07-22 11:27:54.221663,526
2025-07-22 11:27:54.274493,524
2025-07-22 11:27:54.326960,520
2025-07-22 11:27:54.382488,518
2025-07-22 11:27:54.435044,515
2025-07-22 11:27:54.497718,513
2025-07-22 11:27:54.550868,510
2025-07-22 11:27:54.607106,507
2025-07-22 11:27:54.668689,504
2025-07-22 11:27:54.721024,501
2025-07-22 11:27:54.772141,498
2025-07-22 11:27:54.824854,496
2025-07-22 11:27:54.879174,492
2025-07-22 11:27:54.947134,489
2025-07-22 11:27:55.020655,485
2025-07-22 11:27:55.073099,482
2025-07-22 11:27:55.125188,479
2025-07-22 11:27:55.182323,476
2025-07-22 11:27:55.238222,473
2025-07-22 11:27:55.293949,471
2025-07-22 11:27:55.348544,468
2025-07-22 11:27:55.403078,466
2025-07-22 11:27:55.465526,464
2025-07-22 11:27:55.517091,461
2025-07-22 11:27:55.570688,460
2025-07-22 11:27:55.633962,458
2025-07-22 11:27:55.687009,455
2025-07-22 11:27:55.744796,454
2025-07-22 11:27:55.796466,453
2025-07-22 11:27:55.847688,452
2025-07-22 11:27:55.901763,451
2025-07-22 11:27:55.958249,449
2025-07-22 11:27:56.018320,449
2025-07-22 11:27:56.080960,449
2025-07-22 11:27:56.154062,448
2025-07-22 11:27:56.206983,448
2025-07-22 11:27:56.268918,449
2025-07-22 11:27:56.334176,449
2025-07-22 11:27:56.400010,449
2025-07-22 11:27:56.458430,450
2025-07-22 11:27:56.519319,452
2025-07-22 11:27:56.582537,453
2025-07-22 11:27:56.645858,455
2025-07-22 11:27:56.709062,456
2025-07-22 11:27:56.764247,459
2025-07-22 11:27:56.820500,461
2025-07-22 11:27:56.877237,463
2025-07-22 11:27:56.930633,465
2025-07-22 11:27:56.983734,467
2025-07-22 11:27:57.035841,469
2025-07-22 11:27:57.087964,471
2025-07-22 11:27:57.147817,472
2025-07-22 11:27:57.204330,475
2025-07-22 11:27:57.267571,477
2025-07-22 11:27:57.318974,479
2025-07-22 11:27:57.370527,482
2025-07-22 11:27:57.422509,484
2025-07-22 11:27:57.474258,488
2025-07-22 11:27:57.532643,490
2025-07-22 11:27:57.595268,493
2025-07-22 11:27:57.658457,496
2025-07-22 11:27:57.720369,498
2025-07-22 11:27:57.783720,501
2025-07-22 11:27:57.845124,503
2025-07-22 11:27:57.907954,506
2025-07-22 11:27:57.969765,508
2025-07-22 11:27:58.032349,511
2025-07-22 11:27:58.094829,515
2025-07-22 11:27:58.158904,516
2025-07-22 11:27:58.221967,518
2025-07-22 11:27:58.283142,522
2025-07-22 11:27:58.345162,524
2025-07-22 11:27:58.407026,526
2025-07-22 11:27:58.469998,532
2025-07-22 11:27:58.533143,533
2025-07-22 11:27:58.595482,537
2025-07-22 11:27:58.657557,540
2025-07-22 11:27:58.719669,544
2025-07-22 11:27:58.782164,547
2025-07-22 11:27:58.844433,549
2025-07-22 11:27:58.906687,552
2025-07-22 11:27:58.970250,554
2025-07-22 11:27:59.021834,557
2025-07-22 11:27:59.077093,559
2025-07-22 11:27:59.138176,562
2025-07-22 11:27:59.199866,563
2025-07-22 11:27:59.261786,565
2025-07-22 11:27:59.318321,568
2025-07-22 11:27:59.373277,569
2025-07-22 11:27:59.432081,571
2025-07-22 11:27:59.485902,573
2025-07-22 11:27:59.544852,574
2025-07-22 11:27:59.596914,576
2025-07-22 11:27:59.655433,577
2025-07-22 11:27:59.717212,579
2025-07-22 11:27:59.781109,579
2025-07-22 11:27:59.832373,579
2025-07-22 11:27:59.883651,579
2025-07-22 11:27:59.935691,579
2025-07-22 11:27:59.990850,579
2025-07-22 11:28:00.052500,579
2025-07-22 11:28:00.116201,578
2025-07-22 11:28:00.178819,577
2025-07-22 11:28:00.243999,575
2025-07-22 11:28:00.303973,574
2025-07-22 11:28:00.367283,572
2025-07-22 11:28:00.429963,570
2025-07-22 11:28:00.493054,568
2025-07-22 11:28:00.554512,566
2025-07-22 11:28:00.617122,564
2025-07-22 11:28:00.680096,562
2025-07-22 11:28:00.743532,560
2025-07-22 11:28:00.805039,558
2025-07-22 11:28:00.864179,556
2025-07-22 11:28:00.939766,554
2025-07-22 11:28:00.991936,551
2025-07-22 11:28:01.044081,549
2025-07-22 11:28:01.104005,546
2025-07-22 11:28:01.161175,544
2025-07-22 11:28:01.216218,541
2025-07-22 11:28:01.268017,537
2025-07-22 11:28:01.322112,533
2025-07-22 11:28:01.376600,530
2025-07-22 11:28:01.436359,527
2025-07-22 11:28:01.487692,524
2025-07-22 11:28:01.545350,521
2025-07-22 11:28:01.599206,518
2025-07-22 11:28:01.654460,516
2025-07-22 11:28:01.706387,510
2025-07-22 11:28:01.766825,506
2025-07-22 11:28:01.832704,503
2025-07-22 11:28:01.889013,499
2025-07-22 11:28:01.947917,495
2025-07-22 11:28:02.010744,490
2025-07-22 11:28:02.070242,486
2025-07-22 11:28:02.121610,483
2025-07-22 11:28:02.181227,478
2025-07-22 11:28:02.238916,474
2025-07-22 11:28:02.292544,471
2025-07-22 11:28:02.351591,469
2025-07-22 11:28:02.415141,466
2025-07-22 11:28:02.467856,464
2025-07-22 11:28:02.524551,463
2025-07-22 11:28:02.582008,461
2025-07-22 11:28:02.642584,459
